Geo Point,UBIGEO
"-10.9216977531, -76.8554804127",150804
"-10.9627551559, -76.6712221569",150809
"-10.4551401018, -76.9438397487",150301
"-10.3644795714, -77.0233787817",150302
"-8.05161326993, -78.9959602748",130102
"-6.17421885061, -78.6000926195",60609
"-6.27910059715, -78.5787565626",60610
"-6.28736469896, -78.6967242093",60614
"-6.28459081573, -78.4481448872",60405
"-6.57449322322, -78.7275667131",60410
"-6.18419621775, -78.4781817795",60414
"-6.62755648183, -78.9419155826",61301
"-5.14040380526, -79.0078954652",60901
"-5.51736702366, -79.0550579899",60811
"-5.63393733123, -79.1333535491",60803
"-3.59957712452, -80.503013479",240102
"-4.04098754806, -80.8906845363",240203
"-3.46440143513, -80.3013899727",240301
"-6.77494718869, -78.1172774818",60301
"-6.38019911927, -78.8330008953",60601
"-6.1967862041, -79.0916372078",60607
"-6.69306775044, -78.479500115",60701
"-6.55998014391, -78.6427502538",60401
"-6.43986488593, -78.412792525",60403
"-6.47060852261, -78.6024505674",60408
"-6.69573161245, -78.7686888579",61306
"-11.9557456873, -76.794207352",150118
"-12.0975356033, -76.9952627269",150130
"-12.0765987497, -77.0900896423",150136
"-12.0235974515, -77.0325879052",150128
"-11.9874773349, -77.0460084365",150112
"-12.0990010539, -77.0367723891",150131
"-12.1440729975, -77.0208786599",150104
"-13.1545937678, -74.2002008928",50116
"-11.544540659, -76.1233240315",120805
"-9.89657095109, -76.2966972451",100101
"-9.68526092849, -76.2657293173",100104
"-10.0785251899, -76.4218222599",100108
"-9.94605445522, -76.5112461058",100112
"-9.64827737133, -76.6323299019",100307
"-10.1483614233, -75.896738334",100801
"-9.90056670741, -76.6321379723",101103
"-9.76588576879, -76.7077540255",101107
"-10.1875141175, -76.8658586337",101004
"-9.97837088591, -76.6275119727",101006
"-9.73716015095, -75.79755351",100802
"-9.79337577961, -76.3126551596",100109
"-9.79382586453, -76.7668629183",100322
"-9.86812743902, -76.0279003042",100804
"-10.1073697476, -76.7838631915",101002
"-9.9684919655, -76.7204463127",101005
"-9.33110709177, -76.3878776176",100507
"-9.44146126567, -76.8364898305",100508
"-9.50308383346, -76.8968995756",100509
"-9.37557251773, -76.6700220973",100511
"-8.95863902123, -76.8392997078",100401
"-8.71386504386, -74.6968413735",100903
"-10.9044673659, -75.6839640052",120504
"-9.64737877932, -74.9984863634",100905
"-7.78115897487, -75.3494034681",160601
"-7.87940345424, -74.9143173102",160603
"-6.92050640789, -76.4220117965",220703
"-13.7512825446, -72.3412863374",30502
"-13.6684591326, -73.6525014326",30607
"-13.6611570649, -73.546269545",30215
"-13.5781368228, -72.8719639032",30109
"-14.043833628, -71.9934865584",80702
"-14.3344205815, -71.8769133107",80703
"-14.5287982228, -71.0919648099",80505
"-14.0059389457, -71.0667868809",80602
"-14.0536365003, -71.6238983502",80205
"-14.6714813213, -74.6157225227",50609
"-15.2618235174, -73.218652534",50803
"-15.3207077009, -73.3579318395",50801
"-15.2820812589, -73.5976263967",50706
"-15.0230510294, -73.1185987604",50806
"-15.1277618502, -73.2505710629",50802
"-15.1058161737, -73.6999284588",50702
"-15.0058375731, -73.3631913846",50707
"-14.982725166, -73.8836655377",50605
"-13.9839754352, -74.2225631174",50303
"-11.1271424248, -76.6648444912",150608
"-12.6400707043, -76.0383578532",151003
"-12.2748032971, -76.0794978472",151017
"-12.9611396481, -75.6983349945",151020
"-12.3115474665, -76.0917403492",151024
"-12.6831748341, -76.1814440589",151029
"-12.0716645766, -77.1628314524",70105
"-13.3245339501, -76.0345542845",110201
"-11.9719549448, -75.1610884156",120114
"-11.8720884594, -77.086768675",150125
"-11.9927659685, -77.0885044371",150135
"-11.9290998645, -77.0389161298",150110
"-12.0879993406, -76.9258984551",150114
"-8.64149072746, -77.970095424",20907
"-10.6492560708, -77.4870296822",21405
"-7.37346557564, -79.0665716489",60503
"-9.83800190571, -77.63576165",20205
"-9.27210926848, -76.7766551605",21013
"-9.82273390495, -78.103600253",21103
"-9.89748090566, -77.7446252552",21104
"-9.02251944214, -77.7497741696",21201
"-9.70305259472, -77.6154230842",20204
"-9.2201283971, -76.9986208564",20302
"-9.02773894387, -77.072042277",20303
"-9.29359658533, -77.6396360316",20601
"-9.29019361037, -77.7292992043",20605
"-9.30371350331, -77.4955382355",20606
"-9.35601871006, -77.5741962845",20607
"-9.57041621812, -77.471536956",20101
"-9.73105653809, -77.8193329843",20104
"-9.48122860614, -77.7946168834",20110
"-9.39260674282, -77.4820277823",20112
"-11.8818464002, -75.357433866",120210
"-11.8699305656, -75.3068454762",120215
"-11.8800486006, -75.5334254765",120423
"-11.680674107, -75.272520699",120403
"-11.8350452836, -75.4593641269",120421
"-11.8178318325, -75.3915705648",120407
"-11.7896290501, -75.40409053",120408
"-11.7954643315, -75.4470942562",120404
"-11.8348413676, -75.6250488417",120414
"-11.7643839294, -75.4667395988",120410
"-11.7542554677, -75.4288855127",120412
"-11.6831698128, -75.5284508382",120422
"-11.6788479625, -75.4713469129",120433
"-11.7068211895, -75.5947375023",120432
"-11.7171368295, -75.9653315533",120803
"-11.605270271, -75.8566873536",120801
"-11.5256485847, -75.6169726433",120703
"-11.4137620927, -74.8418596426",120605
"-11.4295625743, -75.528417328",120709
"-11.3174655957, -74.6514739918",120602
"-11.4048868369, -76.257699559",120804
"-11.1888134726, -76.0119235956",120501
"-13.0330917648, -76.3696196438",150507
"-12.5498910213, -76.6462013441",150515
"-11.6397024029, -76.3830419094",150704
"-11.6644988302, -76.2437979189",150705
"-11.6968548593, -76.5957975336",150707
"-12.1600011814, -76.8098704964",150123
"-12.2692451361, -76.7437450079",150126
"-14.9711188456, -74.2079395643",50617
"-14.6763019328, -74.0162820452",50601
"-14.4274631659, -74.8471654957",50612
"-14.4771648414, -73.757417971",50606
"-14.2208734562, -73.9256091782",50620
"-14.1944628059, -74.153949635",50602
"-14.2095609455, -73.6909929932",50911
"-14.0758176762, -73.9378098713",51004
"-14.0649574235, -74.0068565926",51003
"-13.8262851305, -74.5329247416",50304
"-13.8780299062, -73.979199011",51010
"-13.749075884, -74.1698708846",51009
"-13.7148596582, -74.0379326237",51007
"-13.7686710187, -71.9371297742",81007
"-13.870942013, -71.8670100228",81004
"-14.4916049806, -71.4777304394",80502
"-14.3656903447, -71.4895062723",80507
"-14.2510170043, -71.1036090237",80601
"-14.0881433038, -71.3341537601",80603
"-14.3736330143, -71.0956311777",80604
"-13.8887914957, -71.1581667814",80605
"-13.6449847293, -71.7678278048",81208
"-13.805612474, -71.5331691848",81212
"-14.166052711, -71.3328229541",80607
"-14.9073568544, -71.0911155123",80805
"-13.6712295372, -75.1838166957",90615
"-14.8016711742, -75.3343961551",110302
"-14.6777459579, -75.0071063831",110303
"-14.9284661611, -74.8280058435",110305
"-14.4897353571, -75.1315755777",110401
"-14.5946607234, -75.1587275205",110402
"-14.0740320502, -75.6406122642",110103
"-14.4841072733, -75.7807516794",110104
"-13.9735463844, -75.7331355473",110110
"-13.5476380081, -73.5963016403",30608
"-13.5115461168, -73.2794061646",30219
"-13.3195062508, -73.7312117723",30604
"-13.261456802, -74.2844271146",50112
"-13.463581388, -72.6231610075",80307
"-13.4093831125, -72.0387779392",81302
"-13.0860066882, -72.0260323587",80404
"-12.9375608852, -72.6438218422",80904
"-13.2443822665, -72.7329813353",80908
"-13.2364727158, -72.3164185055",81306
"-13.2942401693, -72.0732270211",81307
"-13.5561668634, -74.5011849185",50206
"-13.3926172606, -73.9003226615",50106
"-13.3757477057, -74.1586261324",50105
"-13.1959253274, -74.2120367011",50110
"-13.1279427823, -74.0556085057",50103
"-13.0360649762, -73.9426500306",50501
"-13.2040877849, -74.2355889241",50104
"-13.3891385849, -71.8083459144",80405
"-13.4602192042, -71.8838297169",80407
"-13.3424479777, -75.6110544412",90404
"-13.143553988, -74.4709915745",90311
"-13.0808402896, -74.5415166625",90312
"-13.0458930575, -74.9570050709",90106
"-12.8940305271, -75.5296557323",90405
"-12.9818036757, -74.5404762488",90306
"-12.8233134978, -74.5663956912",90201
"-12.8744258763, -74.3977836004",90205
"-12.5995765115, -74.8235281193",90103
"-12.6087651784, -75.1604993112",90110
"-12.5179571651, -75.039817795",90104
"-12.5330274197, -75.2688789821",90116
"-12.4599030284, -75.0558017667",90105
"-12.3963805438, -74.9392688319",90703
"-12.3453389527, -74.8336572807",90706
"-12.2621008551, -74.908894256",90709
"-12.0792398208, -74.9488761403",90716
"-12.5705116393, -74.6452413725",90511
"-12.7949007454, -74.3297789432",90505
"-12.505340554, -74.4604841211",90510
"-12.4522617962, -74.5699469992",90503
"-12.3851305072, -74.7004625468",90705
"-13.3821947316, -75.9390041933",110202
"-13.1202625295, -75.9426672281",110203
"-13.4966751429, -76.1508533735",110204
"-13.5121981957, -75.9153825662",110205
"-12.1138593519, -75.1397434247",120133
"-12.1948350154, -75.2844327867",120903
"-12.0056080019, -75.4364796645",120204
"-11.9521803199, -74.8769777367",120124
"-11.9420680168, -75.5131170483",120431
"-12.0018817591, -75.364486184",120208
"-11.9890120708, -75.2344782832",120129
"-11.9506179434, -75.2468843658",120132
"-11.9753309661, -75.3282264873",120213
"-12.4104203613, -75.2571328248",120105
"-12.3554296833, -75.2025810774",120104
"-12.2907534971, -75.2933797622",120106
"-12.0819994273, -75.3515546078",120902
"-12.1234933139, -75.4510172516",120907
"-2.80433167812, -71.0132092002",160804
"-1.55813080211, -73.865997263",160802
"-5.61431277899, -78.1747793764",10702
"-6.65901990083, -77.8595316616",10517
"-6.54747074451, -77.4200108986",10602
"-6.49865853395, -77.4136453278",10608
"-6.38686537469, -77.9435254594",10522
